playerName,sal,pos,team,opp,proj
Devonta Freeman,4600,RB,NYG,SEA,3.8
Darius Slayton,4600,WR,NYG,SEA,10.5
Jalen Reagor,4500,WR,PHI,GB,9.2
Henry Ruggs III,4500,WR,LV,NYJ,9.0
Russell Gage,4500,WR,ATL,NO,8.6
Sean Mannion,4500,QB,MIN,JAX,0.5
Cam Akers,4500,RB,LAR,ARI,7.5
Julian Edelman,4500,WR,NE,LAC,5.4
Marquez Valdes-Scantling,4400,WR,GB,PHI,7.6
Jacoby Brissett,4400,QB,IND,HOU,0.8
AJ McCarron,4400,QB,HOU,IND,0.5
Frank Gore,4400,RB,NYJ,LV,10.3
Kerryon Johnson,4400,RB,DET,CHI,5.8
Dwayne Haskins Jr.,4400,QB,WAS,PIT,0.4
J.D. McKissic,4400,RB,WAS,PIT,9.6
Eric Ebron,4400,TE,PIT,WAS,10.3
Matt Breida,4400,RB,MIA,CIN,4.2
Dolphins ,4400,DST,MIA,CIN,9.1
Dallas Goedert,4300,TE,PHI,GB,10.0
T.Y. Hilton,4300,WR,IND,HOU,10.0
Marcus Mariota,4300,QB,LV,NYJ,0.9
Hunter Renfrow,4300,WR,LV,NYJ,10.5
Steelers ,4300,DST,PIT,WAS,9.4
Darrell Henderson Jr.,4300,RB,LAR,ARI,8.5
Tim Boyle,4200,QB,GB,PHI,0.7
Jordan Wilkins,4200,RB,IND,HOU,6.1
Kyle Allen,4200,QB,WAS,PIT,0.0
Anthony McFarland Jr.,4200,RB,PIT,WAS,4.6
Mike Gesicki,4200,TE,MIA,CIN,9.4
Geno Smith,4200,QB,SEA,NYG,0.7
John Wolford,4200,QB,LAR,ARI,0.8
Josh Reynolds,4200,WR,LAR,ARI,10.0
Logan Woodside,4100,QB,TEN,CLE,0.7
Jonnu Smith,4100,TE,TEN,CLE,8.3
Nathan Peterman,4100,QB,LV,NYJ,0.0
Denzel Mims,4100,WR,NYJ,LV,11.0
Matt Schaub,4100,QB,ATL,NO,0.7
Mason Rudolph,4100,QB,PIT,WAS,0.7
Preston Williams,4100,WR,MIA,CIN,12.0
Jeremy McNichols,4000,RB,TEN,CLE,3.5
D'Onta Foreman,4000,RB,TEN,CLE,3.2
Senorise Perry,4000,RB,TEN,CLE,0.0
Darrynton Evans,4000,RB,TEN,CLE,0.0
Khari Blasingame,4000,RB,TEN,CLE,0.9
D'Ernest Johnson,4000,RB,CLE,TEN,1.7
Dontrell Hilliard,4000,RB,CLE,TEN,2.2
Rashard Higgins,4000,WR,CLE,TEN,8.2
Nate Sudfeld,4000,QB,PHI,GB,0.7
Jordan Love,4000,QB,GB,PHI,0.0
Corey Clement,4000,RB,PHI,GB,2.3
Jason Huntley,4000,RB,PHI,GB,0.0
Tyler Ervin,4000,RB,GB,PHI,2.5
Mike Weber,4000,RB,GB,PHI,1.4
AJ Dillon,4000,RB,GB,PHI,2.6
Patrick Taylor,4000,RB,GB,PHI,0.0
Jacob Eason,4000,QB,IND,HOU,0.2
Josh McCown,4000,QB,HOU,IND,0.0
Marlon Mack,4000,RB,IND,HOU,0.0
C.J. Prosise,4000,RB,HOU,IND,4.2
Buddy Howell,4000,RB,HOU,IND,1.9
Scottie Phillips,4000,RB,HOU,IND,0.0
Cullen Gillaspia,4000,RB,HOU,IND,0.7
James Morgan,4000,QB,NYJ,LV,0.0
La'Mical Perine,4000,RB,NYJ,LV,0.0
Ty Johnson,4000,RB,NYJ,LV,4.3
Josh Adams,4000,RB,NYJ,LV,2.9
Jalen Richard,4000,RB,LV,NYJ,2.7
Theo Riddick,4000,RB,LV,NYJ,0.0
Alec Ingold,4000,RB,LV,NYJ,2.3
Trevor Siemian,4000,QB,NO,ATL,0.0
Dwayne Washington,4000,RB,NO,ATL,1.6
Ty Montgomery,4000,RB,NO,ATL,1.4
Michael Burton,4000,RB,NO,ATL,0.5
Qadree Ollison,4000,RB,ATL,NO,1.2
Tony Brooks-James,4000,RB,ATL,NO,0.0
Keith Smith,4000,RB,ATL,NO,1.2
Hayden Hurst,4000,TE,ATL,NO,9.6
David Blough,4000,QB,DET,CHI,0.9
Jonathan Williams,4000,RB,DET,CHI,0.0
Jason Cabinda,4000,RB,DET,CHI,0.0
Ryan Nall,4000,RB,CHI,DET,2.3
Artavis Pierce,4000,RB,CHI,DET,1.7
Tarik Cohen,4000,RB,CHI,DET,0.0
Josh Dobbs,4000,QB,PIT,WAS,0.0
Peyton Barber,4000,RB,WAS,PIT,3.3
Bryce Love,4000,RB,WAS,PIT,1.5
Jaylen Samuels,4000,RB,PIT,WAS,3.2
Trey Edmunds,4000,RB,PIT,WAS,0.0
Derek Watt,4000,RB,PIT,WAS,0.5
Devine Ozigbo,4000,RB,JAX,MIN,3.1
Dare Ogunbowale,4000,RB,JAX,MIN,2.5
Nathan Cottrell,4000,RB,JAX,MIN,1.5
Craig Reynolds,4000,RB,JAX,MIN,1.7
Ryquell Armstead,4000,RB,JAX,MIN,0.0
Chris Thompson,4000,RB,JAX,MIN,0.0
Mike Boone,4000,RB,MIN,JAX,1.9
Ameer Abdullah,4000,RB,MIN,JAX,2.0
C.J. Ham,4000,RB,MIN,JAX,2.1
Joe Burrow,4000,QB,CIN,MIA,0.0
Reid Sinnett,4000,QB,MIA,CIN,0.0
Patrick Laird,4000,RB,MIA,CIN,4.8
Malcolm Perry,4000,RB,MIA,CIN,4.1
DeAndre Washington,4000,RB,MIA,CIN,4.1
Chandler Cox,4000,RB,MIA,CIN,0.0
Samaje Perine,4000,RB,CIN,MIA,4.5
Trayveon Williams,4000,RB,CIN,MIA,2.1
DeeJay Dallas,4000,RB,SEA,NYG,2.5
Travis Homer,4000,RB,SEA,NYG,3.0
Rashaad Penny,4000,RB,SEA,NYG,0.0
Nick Bellore,4000,RB,SEA,NYG,0.7
Dion Lewis,4000,RB,NYG,SEA,3.8
Alfred Morris,4000,RB,NYG,SEA,3.3
Saquon Barkley,4000,RB,NYG,SEA,0.0
Elijhaa Penny,4000,RB,NYG,SEA,1.4
Brett Hundley,4000,QB,ARI,LAR,0.5
Malcolm Brown,4000,RB,LAR,ARI,7.1
Jonathan Ward,4000,RB,ARI,LAR,0.0
Eno Benjamin,4000,RB,ARI,LAR,2.1
D.J. Foster,4000,RB,ARI,LAR,0.0
Xavier Jones,4000,RB,LAR,ARI,1.1
Raymond Calais,4000,RB,LAR,ARI,0.0
Easton Stick,4000,QB,LAC,NE,0.0
Brian Hoyer,4000,QB,NE,LAC,0.0
Kalen Ballage,4000,RB,LAC,NE,6.8
Joshua Kelley,4000,RB,LAC,NE,4.9
Troymaine Pope,4000,RB,LAC,NE,4.6
Justin Jackson,4000,RB,LAC,NE,0.0
Gabe Nabers,4000,RB,LAC,NE,1.0
Sony Michel,4000,RB,NE,LAC,3.3
J.J. Taylor,4000,RB,NE,LAC,1.8
Rex Burkhead,4000,RB,NE,LAC,0.0
Jakob Johnson,4000,RB,NE,LAC,1.2
Zach Ertz,3900,TE,PHI,GB,7.0
Breshad Perriman,3900,WR,NYJ,LV,11.2
Damiere Byrd,3900,WR,NE,LAC,9.1
Austin Hooper,3800,TE,CLE,TEN,9.2
Packers ,3800,DST,GB,PHI,8.8
Keelan Cole Sr.,3800,WR,JAX,MIN,9.2
Golden Tate,3800,WR,NYG,SEA,8.9
Robert Tonyan,3700,TE,GB,PHI,9.2
Jared Cook,3700,TE,NO,ATL,6.0
Danny Amendola,3700,WR,DET,CHI,7.0
Olabisi Johnson,3700,WR,MIN,JAX,4.9
Saints ,3600,DST,NO,ATL,7.2
Cordarrelle Patterson,3600,WR,CHI,DET,6.3
Jimmy Graham,3600,TE,CHI,DET,8.0
Laviska Shenault Jr.,3600,WR,JAX,MIN,8.5
Larry Fitzgerald,3600,WR,ARI,LAR,6.8
Equanimeous St. Brown,3500,WR,GB,PHI,3.5
Zach Pascal,3500,WR,IND,HOU,7.3
Keke Coutee,3500,WR,HOU,IND,9.9
Trey Burton,3500,TE,IND,HOU,7.4
Marvin Hall,3500,WR,DET,CHI,5.2
Chad Beebe,3500,WR,MIN,JAX,4.6
Vikings ,3500,DST,MIN,JAX,7.4
Jakeem Grant,3500,WR,MIA,CIN,7.5
Greg Ward,3400,WR,PHI,GB,6.6
Raiders ,3400,DST,LV,NYJ,7.4
Olamide Zaccheaus,3400,WR,ATL,NO,0.0
Darnell Mooney,3400,WR,CHI,DET,9.7
Logan Thomas,3400,TE,WAS,PIT,7.3
Kyle Rudolph,3400,TE,MIN,JAX,8.0
David Moore,3400,WR,SEA,NYG,7.7
Tyler Higbee,3400,TE,LAR,ARI,7.7
KhaDarel Hodge,3300,WR,CLE,TEN,6.1
Richard Rodgers,3300,TE,PHI,GB,4.4
James Washington,3300,WR,PIT,WAS,4.6
Collin Johnson,3300,WR,JAX,MIN,3.3
Will Dissly,3300,TE,SEA,NYG,4.4
Seahawks ,3300,DST,SEA,NYG,8.4
Adam Humphries,3200,WR,TEN,CLE,6.0
Dontrelle Inman,3200,WR,WAS,PIT,3.2
Irv Smith Jr.,3200,TE,MIN,JAX,5.6
Andy Isabella,3200,WR,ARI,LAR,7.3
Gerald Everett,3200,TE,LAR,ARI,6.6
Rams ,3200,DST,LAR,ARI,7.0
Anthony Miller,3100,WR,CHI,DET,8.7
Bears ,3100,DST,CHI,DET,7.5
Steven Sims Jr.,3100,WR,WAS,PIT,0.0
A.J. Green,3100,WR,CIN,MIA,7.7
Jalen Guyton,3100,WR,LAC,NE,5.8
Kalif Raymond,3000,WR,TEN,CLE,1.4
Cameron Batson,3000,WR,TEN,CLE,0.0
Nick Westbrook-Ikhine,3000,WR,TEN,CLE,0.0
Donovan Peoples-Jones,3000,WR,CLE,TEN,1.4
Taywan Taylor,3000,WR,CLE,TEN,1.3
Odell Beckham Jr.,3000,WR,CLE,TEN,0.0
JoJo Natson,3000,WR,CLE,TEN,0.0
Alshon Jeffery,3000,WR,PHI,GB,5.1
John Hightower,3000,WR,PHI,GB,1.3
Quez Watkins,3000,WR,PHI,GB,0.0
JJ Arcega-Whiteside,3000,WR,PHI,GB,0.0
DeSean Jackson,3000,WR,PHI,GB,0.0
Darrius Shepherd,3000,WR,GB,PHI,0.0
Malik Taylor,3000,WR,GB,PHI,0.6
Parris Campbell,3000,WR,IND,HOU,0.0
Randall Cobb,3000,WR,HOU,IND,0.0
Marcus Johnson,3000,WR,IND,HOU,2.9
Ashton Dulin,3000,WR,IND,HOU,0.9
DeMichael Harris,3000,WR,IND,HOU,2.5
Dezmon Patmon,3000,WR,IND,HOU,0.0
Isaiah Coulter,3000,WR,HOU,IND,4.8
Colts ,3000,DST,IND,HOU,6.7
Braxton Berrios,3000,WR,NYJ,LV,4.0
Jeff Smith,3000,WR,NYJ,LV,1.8
Vyncint Smith,3000,WR,NYJ,LV,0.0
Chris Hogan,3000,WR,NYJ,LV,0.0
Bryan Edwards,3000,WR,LV,NYJ,3.2
Zay Jones,3000,WR,LV,NYJ,1.0
Tyrell Williams,3000,WR,LV,NYJ,0.0
Tre'Quan Smith,3000,WR,NO,ATL,5.0
Deonte Harris,3000,WR,NO,ATL,2.1
Marquez Callaway,3000,WR,NO,ATL,0.0
Austin Carr,3000,WR,NO,ATL,0.0
Bennie Fowler III,3000,WR,NO,ATL,0.0
Christian Blake,3000,WR,ATL,NO,3.6
Brandon Powell,3000,WR,ATL,NO,2.0
Quintez Cephus,3000,WR,DET,CHI,3.8
Jamal Agnew,3000,WR,DET,CHI,2.7
Mohamed Sanu,3000,WR,DET,CHI,3.9
Javon Wims,3000,WR,CHI,DET,0.0
Riley Ridley,3000,WR,CHI,DET,3.2
DeAndre Carter,3000,WR,CHI,DET,0.4
Dwayne Harris,3000,WR,CHI,DET,0.0
Cam Sims,3000,WR,WAS,PIT,5.6
Isaiah Wright,3000,WR,WAS,PIT,3.0
Robert Foster,3000,WR,WAS,PIT,0.0
Jeff Badet,3000,WR,WAS,PIT,0.0
Antonio Gandy-Golden,3000,WR,WAS,PIT,0.0
Kelvin Harmon,3000,WR,WAS,PIT,0.0
Emanuel Hall,3000,WR,WAS,PIT,0.0
Ray-Ray McCloud III,3000,WR,PIT,WAS,0.0
Chris Conley,3000,WR,JAX,MIN,6.4
Trey Quinn,3000,WR,JAX,MIN,0.0
Dede Westbrook,3000,WR,JAX,MIN,0.0
Dan Chisena,3000,WR,MIN,JAX,0.9
Tajae Sharpe,3000,WR,MIN,JAX,1.7
K.J. Osborn,3000,WR,MIN,JAX,0.4
Tyler Eifert,3000,TE,JAX,MIN,6.4
Mack Hollins,3000,WR,MIA,CIN,3.5
Antonio Callaway,3000,WR,MIA,CIN,3.6
Lynn Bowden Jr.,3000,WR,MIA,CIN,2.0
Auden Tate,3000,WR,CIN,MIA,3.6
Mike Thomas,3000,WR,CIN,MIA,2.5
Alex Erickson,3000,WR,CIN,MIA,1.2
John Ross III,3000,WR,CIN,MIA,0.0
Freddie Swain,3000,WR,SEA,NYG,3.4
Penny Hart,3000,WR,SEA,NYG,0.2
Phillip Dorsett II,3000,WR,SEA,NYG,0.0
Josh Gordon,3000,WR,SEA,NYG,0.0
Austin Mack,3000,WR,NYG,SEA,3.7
C.J. Board,3000,WR,NYG,SEA,1.6
Dante Pettis,3000,WR,NYG,SEA,0.0
David Sills,3000,WR,NYG,SEA,0.0
Cody Core,3000,WR,NYG,SEA,0.0
Jacob Hollister,3000,TE,SEA,NYG,6.6
KeeSean Johnson,3000,WR,ARI,LAR,2.8
Trent Sherfield,3000,WR,ARI,LAR,0.0
Van Jefferson Jr.,3000,WR,LAR,ARI,0.0
Nsimba Webster,3000,WR,LAR,ARI,0.7
Trishton Jackson,3000,WR,LAR,ARI,0.0
Tyron Johnson,3000,WR,LAC,NE,3.9
K.J. Hill,3000,WR,LAC,NE,0.6
Joe Reed,3000,WR,LAC,NE,1.2
N'Keal Harry,3000,WR,NE,LAC,6.6
Donte Moncrief,3000,WR,NE,LAC,0.0
Gunner Olszewski,3000,WR,NE,LAC,1.2
Isaiah Ford,3000,WR,NE,LAC,1.8
Matthew Slater,3000,WR,NE,LAC,0.7
Quincy Adeboyejo,3000,WR,NE,LAC,0.0
Titans ,2900,DST,TEN,CLE,5.9
Jace Sternberger,2900,TE,GB,PHI,2.8
Jordan Akins,2900,TE,HOU,IND,7.2
Drew Sample,2900,TE,CIN,MIA,5.6
Cardinals ,2900,DST,ARI,LAR,6.1
Texans ,2800,DST,HOU,IND,5.7
Dan Arnold,2800,TE,ARI,LAR,4.4
Mo Alie-Cox,2700,TE,IND,HOU,5.0
Darren Fells,2700,TE,HOU,IND,5.1
Vance McDonald,2700,TE,PIT,WAS,4.0
WAS Football Team ,2700,DST,WAS,PIT,5.6
Chargers ,2600,DST,LAC,NE,5.5
David Njoku,2500,TE,CLE,TEN,3.9
Anthony Firkser,2500,TE,TEN,CLE,5.6
MyCole Pruitt,2500,TE,TEN,CLE,3.1
Geoff Swaim,2500,TE,TEN,CLE,2.9
Harrison Bryant,2500,TE,CLE,TEN,4.1
Stephen Carlson,2500,TE,CLE,TEN,3.3
Browns ,2500,DST,CLE,TEN,5.5
Joshua Perkins,2500,TE,PHI,GB,0.0
Marcedes Lewis,2500,TE,GB,PHI,3.2
Josiah Deguara,2500,TE,GB,PHI,0.0
John Lovett,2500,TE,GB,PHI,0.0
Jack Doyle,2500,TE,IND,HOU,4.3
Noah Togiai,2500,TE,IND,HOU,2.2
Pharaoh Brown,2500,TE,HOU,IND,3.0
Kahale Warring,2500,TE,HOU,IND,2.5
Chris Herndon,2500,TE,NYJ,LV,0.0
Ryan Griffin,2500,TE,NYJ,LV,2.9
Daniel Brown,2500,TE,NYJ,LV,0.0
Ross Travis,2500,TE,NYJ,LV,0.0
Trevon Wesco,2500,TE,NYJ,LV,0.8
Jason Witten,2500,TE,LV,NYJ,2.5
Foster Moreau,2500,TE,LV,NYJ,3.3
Derek Carrier,2500,TE,LV,NYJ,1.9
Nick O'Leary,2500,TE,LV,NYJ,0.0
Adam Trautman,2500,TE,NO,ATL,2.4
Josh Hill,2500,TE,NO,ATL,2.8
Garrett Griffin,2500,TE,NO,ATL,0.0
Zach Wood,2500,TE,NO,ATL,0.0
Luke Stocker,2500,TE,ATL,NO,1.1
Jaeden Graham,2500,TE,ATL,NO,1.7
Jesse James,2500,TE,DET,CHI,3.0
Isaac Nauta,2500,TE,DET,CHI,0.0
Hunter Bryant,2500,TE,DET,CHI,1.4
Cole Kmet,2500,TE,CHI,DET,4.3
Demetrius Harris,2500,TE,CHI,DET,2.3
J.P. Holtz,2500,TE,CHI,DET,1.0
Darion Clark,2500,TE,CHI,DET,0.0
Patrick Scales,2500,TE,CHI,DET,0.0
Lions ,2500,DST,DET,CHI,6.5
Jeremy Sprinkle,2500,TE,WAS,PIT,1.2
Temarrick Hemingway,2500,TE,WAS,PIT,1.2
Thaddeus Moss,2500,TE,WAS,PIT,0.0
Kevin Rader,2500,TE,PIT,WAS,0.0
Zach Gentry,2500,TE,PIT,WAS,0.0
James O'Shaughnessy,2500,TE,JAX,MIN,3.9
Eric Saubert,2500,TE,JAX,MIN,1.1
Ben Ellefson,2500,TE,JAX,MIN,1.8
Tyler Davis,2500,TE,JAX,MIN,0.0
Josh Oliver,2500,TE,JAX,MIN,0.0
Tyler Conklin,2500,TE,MIN,JAX,2.7
Brandon Dillon,2500,TE,MIN,JAX,0.0
Andrew DePaola,2500,TE,MIN,JAX,0.0
Durham Smythe,2500,TE,MIA,CIN,3.9
Adam Shaheen,2500,TE,MIA,CIN,3.1
Cethan Carter,2500,TE,CIN,MIA,0.0
Mason Schreck,2500,TE,CIN,MIA,0.0
C.J. Uzomah,2500,TE,CIN,MIA,0.0
Clark Harris,2500,TE,CIN,MIA,0.0
Colby Parkinson,2500,TE,SEA,NYG,2.3
Greg Olsen,2500,TE,SEA,NYG,0.0
Tyler Ott,2500,TE,SEA,NYG,0.0
Levine Toilolo,2500,TE,NYG,SEA,1.4
Kaden Smith,2500,TE,NYG,SEA,3.2
Maxx Williams,2500,TE,ARI,LAR,3.3
Evan Baylis,2500,TE,ARI,LAR,0.0
Darrell Daniels,2500,TE,ARI,LAR,0.0
Johnny Mundt,2500,TE,LAR,ARI,0.0
Brycen Hopkins,2500,TE,LAR,ARI,2.2
Ryan Izzo,2500,TE,NE,LAC,3.4
Donald Parham Jr.,2500,TE,LAC,NE,2.6
Stephen Anderson,2500,TE,LAC,NE,0.0
Virgil Green,2500,TE,LAC,NE,5.6
Jordan Thomas,2500,TE,NE,LAC,2.3
Devin Asiasi,2500,TE,NE,LAC,1.8
Dalton Keene,2500,TE,NE,LAC,0.0
Falcons ,2400,DST,ATL,NO,6.1
Patriots ,2400,DST,NE,LAC,6.0
Eagles ,2300,DST,PHI,GB,5.3
Bengals ,2300,DST,CIN,MIA,5.8
Giants ,2200,DST,NYG,SEA,6.8
Jets ,2100,DST,NYJ,LV,5.6
Jaguars ,2000,DST,JAX,MIN,5.6
