PG,PG,SG,SG,SF,SF,PF,PF,C,P,R,O,J
Mike Conley,Reggie Jackson,Paul George,Miye Oni,Kawhi Leonard,Brandon Ingram,Anthony Davis,Marcus Morris,Rudy Gobert,390.31
Lonzo Ball,Reggie Jackson,Donovan Mitchell,Miye Oni,LeBron James,Kawhi Leonard,Zion Williamson,Marcus Morris,Derrick Favors,379.54
Reggie Jackson,Landry Shamet,Jrue Holiday,Miye Oni,LeBron James,Brandon Ingram,Anthony Davis,Zion Williamson,Dwight Howard,376.23
Lonzo Ball,Landry Shamet,Josh Hart,Miye Oni,Kawhi Leonard,Joe Ingles,Anthony Davis,Zion Williamson,Rudy Gobert,368.75
Lonzo Ball,Mike Conley,JJ Redick,Miye Oni,LeBron James,Kawhi Leonard,Anthony Davis,JaMychal Green,Dwight Howard,368.38
